Tests 1,Tests 2,Tests 3,Tests 4,Tests 5,Tests 6,Tests 7,density,emergency,quarantine,gatherings,travel,school,daycares,restauraunts,retail,party
0.0,0.04165639329940026,0.24543496592619615,2.5230264157825943,40.08245714176346,92.5064651848249,142.6844055351214,1218.0,8.0,20.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0
0.0,0.22891709338243604,2.360707525506372,22.79155810988879,52.48878187014774,80.25451765499237,136.83519256935116,17.0,10.0,23.0,6.0,3.0,3.0,3.0,3.0,3.0,1.0
0.0,0.04869883213707358,0.6136052849271271,8.564501278506672,29.706287603614882,54.64333624660569,79.90179718170118,26.0,11.0,31.0,10.0,3.0,3.0,3.0,3.0,3.0,1.0
0.0,0.10126680662733162,2.710043677864428,31.562858851394868,88.60074512835979,155.38543303202945,237.28354926894878,420.0,6.0,21.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0
0.0,0.008554978569778682,0.14971212497112693,0.42004944777613334,17.67886321444765,37.433164229923605,54.104250968851325,284.0,8.0,22.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0
0.0,0.022744670102459685,0.3209525670013756,1.860008577267814,4.129421216379903,6.704623309091727,57.5187435035536,57.0,14.0,32.0,11.0,2.0,3.0,3.0,3.0,3.0,2.0
0.0,0.27028712316581144,1.0811484926632458,7.1720925226015755,27.090356748180362,48.898259896242934,70.55442290498435,41.0,7.0,22.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0
0.0,0.004686771719613257,0.20934247014272547,4.251683078309159,26.132657979943584,60.7491539010071,97.55515334374994,286.0,5.0,31.0,10.0,2.0,3.0,3.0,3.0,3.0,1.0
0.009439652771812442,0.31150854146981055,2.746938956597421,9.581247563389628,29.583871786860193,67.78614655438514,192.0969339063832,1021.0,8.0,27.0,25.0,3.0,3.0,3.0,3.0,3.0,1.0
0.0,0.01942232565258043,0.33600623378964145,3.2260482908936097,7.359119189762724,36.85580515833663,61.034658363234,162.0,12.0,37.0,50.0,2.0,3.0,3.0,3.0,3.0,2.0
0.0,0.056518952500341946,3.798073608022978,8.602184570552042,36.364294038720004,63.2221002668825,96.68132014708493,11.0,12.0,50.0,50.0,1.0,3.0,3.0,1.0,1.0,2.0
0.0,0.004392917796500719,0.2870039627047136,5.530683505794404,30.12663024840193,66.33305872716085,103.49275036776044,160.0,11.0,32.0,10.0,1.0,3.0,3.0,3.0,3.0,2.0
0.0,0.0027590125645777066,0.019313087952043947,3.0197392519303,8.884020457940217,24.46485416325167,42.948513963069445,105.0,12.0,32.0,10.0,2.0,3.0,3.0,3.0,3.0,2.0
0.0,0.003119192453550546,0.49595160011453676,11.506700961147963,43.64686000253279,96.35809327508345,137.97435899035483,36.0,5.0,50.0,10.0,1.0,3.0,3.0,3.0,1.0,2.0
0.0,0.6089850942885211,6.5385768018346475,53.4785068326525,170.01902277123477,379.34963597114694,640.7965525033294,67.0,15.0,24.0,10.0,3.0,3.0,3.0,3.0,3.0,2.0
0.0,0.03397567271539083,0.41239437226957143,1.3566837587731924,4.335998783436602,7.711306131472497,11.529468799729695,212.0,11.0,29.0,10.0,1.0,3.0,3.0,3.0,2.0,1.0
0.14576698582632744,3.226571929507086,25.3595158855154,60.3081356494438,98.3717039753546,135.87452903146504,170.62747959820317,107.0,-1.0,22.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0
0.0,0.054959832949587756,0.5942531937674176,11.361227967547592,30.334392798613088,47.12118677515279,67.42369256568645,106.0,11.0,24.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0
0.0,0.011159798833466229,0.21203617783585835,2.2152200684430463,15.724156556353915,49.31515104508726,90.71242481783024,76.0,3.0,22.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0
0.0,0.0,0.05183504705758355,7.982597246867868,28.33649239147901,55.93001577513266,94.32250729578288,6.0,11.0,50.0,10.0,3.0,3.0,3.0,3.0,1.0,2.0
0.0,0.1558627784098879,1.3460876317217594,14.948657383857434,39.83002455547227,96.83329342301583,150.76181475283707,11011.0,10.0,29.0,10.0,1.0,3.0,3.0,3.0,3.0,0.0
