Tests 1,Tests 2,Tests 3,Tests 4,Tests 5,Tests 6,Tests 7,density,emergency,quarantine,gatherings,travel,school,daycares,restauraunts,retail,party
0.0,0.19137578686205223,1.968436664866823,13.232268691604753,45.57477667129158,85.90038890293829,109.87704105694112,1.0,10.0,27.0,10.0,3.0,3.0,3.0,3.0,3.0,2.0
0.0,0.0,0.0815796263041268,3.267264033480279,10.17705838143982,26.672458820134256,44.018326863049225,95.0,12.0,34.0,10.0,1.0,3.0,3.0,3.0,3.0,2.0
0.0,0.019882006916287474,0.3943264705063682,2.9027730097779707,11.442094980323441,37.25225362548396,65.35215673383692,57.0,10.0,50.0,10.0,1.0,3.0,3.0,3.0,1.0,2.0
0.0,0.06731955645479828,0.1827245103773096,0.5962589285996419,19.058303819203303,37.65773555971471,57.85222862765512,60.0,10.0,30.0,50.0,2.0,3.0,3.0,3.0,3.0,2.0
0.0,0.1391974326526756,0.3059812655946996,3.2496273368370083,6.645285434838733,29.49289894420772,48.16939811257899,251.0,3.0,18.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0
0.0,0.19448712356322637,1.3162610684011216,7.901039394756071,23.053670110941013,41.50216297465277,60.556691607324936,52.0,9.0,25.0,10.0,1.0,3.0,2.0,3.0,3.0,1.0
0.0,0.08414469858948241,0.40669937651583166,8.69495218757985,33.37739710716136,65.2682378725752,115.61481586194884,741.0,9.0,22.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0
0.0,0.10269428732218483,0.4313160067531764,0.9447874433641005,2.7522069002345537,71.82438455313608,114.02146721382184,485.0,11.0,23.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0
0.0,0.0628557841079812,0.3696851302350894,4.106577895054772,20.16786032904677,52.80072104430741,85.08950454137695,378.0,0.0,33.0,10.0,2.0,3.0,3.0,3.0,3.0,2.0
0.0,0.006592936911339032,0.09324296488893774,3.786229483368987,11.833379907723373,26.21351715948399,51.28645623330633,177.0,13.0,33.0,10.0,1.0,3.0,1.0,3.0,3.0,2.0
0.0,0.007062785336527596,0.014125570673055192,2.1965262396600824,49.43949735569317,91.498384034715,126.90412692672784,222.0,3.0,24.0,11.0,3.0,3.0,3.0,3.0,3.0,1.0
0.0,0.04754252679021385,0.3201196803874399,4.1361998307486045,16.95366505339026,34.36056886218056,55.7578754195628,55.0,8.0,50.0,10.0,1.0,3.0,3.0,3.0,3.0,2.0
0.0,0.15108571876232818,1.0016423577206202,6.810048879027904,23.961075842232937,57.41816889704627,80.0642394093108,20.0,12.0,24.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0
0.0,0.15546305459965068,0.4048352640082274,6.565749311010627,21.90845341012945,46.54658553020912,79.49528327459804,231.0,8.0,20.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0
0.0,0.002970788680522722,0.17973271517162467,2.2191791443504734,14.60142636476918,33.64715259560035,63.112920123364965,184.0,5.0,24.0,11.0,1.0,3.0,3.0,3.0,3.0,2.0
